data,hora,temperatura,umidade
01/01/2019,0000 UTC,"24,3",72.0
01/01/2019,0100 UTC,"23,9",75.0
01/01/2019,0200 UTC,"23,4",78.0
01/01/2019,0300 UTC,"22,8",82.0
01/01/2019,0400 UTC,"21,9",87.0
01/01/2019,0500 UTC,"21,4",86.0
01/01/2019,0600 UTC,"21,2",89.0
01/01/2019,0700 UTC,"20,4",91.0
01/01/2019,0800 UTC,"20,1",91.0
01/01/2019,0900 UTC,"20,5",90.0
01/01/2019,1000 UTC,23,80.0
01/01/2019,1100 UTC,25,74.0
01/01/2019,1200 UTC,"27,4",63.0
01/01/2019,1300 UTC,"29,2",56.0
01/01/2019,1400 UTC,"30,1",50.0
01/01/2019,1500 UTC,"31,1",49.0
01/01/2019,1600 UTC,32,45.0
01/01/2019,1700 UTC,"31,8",47.0
01/01/2019,1800 UTC,31,68.0
01/01/2019,1900 UTC,"28,4",64.0
01/01/2019,2000 UTC,"28,5",69.0
01/01/2019,2100 UTC,27,82.0
01/01/2019,2200 UTC,24,91.0
01/01/2019,2300 UTC,"22,5",91.0
02/01/2019,0000 UTC,"22,6",90.0
02/01/2019,0100 UTC,"22,3",88.0
02/01/2019,0200 UTC,"22,3",90.0
02/01/2019,0300 UTC,"22,1",90.0
02/01/2019,0400 UTC,"22,2",92.0
02/01/2019,0500 UTC,"21,8",91.0
02/01/2019,0600 UTC,"21,7",92.0
02/01/2019,0700 UTC,"21,6",91.0
02/01/2019,0800 UTC,"21,8",91.0
02/01/2019,0900 UTC,"22,1",90.0
02/01/2019,1000 UTC,23,85.0
02/01/2019,1100 UTC,"24,1",80.0
02/01/2019,1200 UTC,"25,6",73.0
02/01/2019,1300 UTC,"28,1",66.0
02/01/2019,1400 UTC,"29,9",58.0
02/01/2019,1500 UTC,"31,6",52.0
02/01/2019,1600 UTC,"32,2",49.0
02/01/2019,1700 UTC,32,47.0
02/01/2019,1800 UTC,"30,8",56.0
02/01/2019,1900 UTC,"29,3",61.0
02/01/2019,2000 UTC,"28,8",60.0
02/01/2019,2100 UTC,"29,5",58.0
02/01/2019,2200 UTC,"28,6",67.0
02/01/2019,2300 UTC,"27,1",75.0
03/01/2019,0000 UTC,"25,9",78.0
03/01/2019,0100 UTC,"25,3",81.0
03/01/2019,0200 UTC,"24,6",87.0
03/01/2019,0300 UTC,"23,7",88.0
03/01/2019,0400 UTC,"23,4",88.0
03/01/2019,0500 UTC,"22,7",90.0
03/01/2019,0600 UTC,"22,1",92.0
03/01/2019,0700 UTC,"21,9",92.0
03/01/2019,0800 UTC,"21,8",92.0
03/01/2019,0900 UTC,"21,8",91.0
03/01/2019,1000 UTC,"25,1",77.0
03/01/2019,1100 UTC,"27,2",66.0
03/01/2019,1200 UTC,"28,9",61.0
03/01/2019,1300 UTC,"30,7",50.0
03/01/2019,1400 UTC,"32,1",46.0
03/01/2019,1500 UTC,"32,8",43.0
03/01/2019,1600 UTC,"33,8",62.0
03/01/2019,1700 UTC,"27,4",79.0
03/01/2019,1800 UTC,"27,6",70.0
03/01/2019,1900 UTC,"28,4",70.0
03/01/2019,2000 UTC,"28,9",58.0
03/01/2019,2100 UTC,"29,6",63.0
03/01/2019,2200 UTC,"28,2",70.0
03/01/2019,2300 UTC,"26,8",68.0
04/01/2019,0000 UTC,"27,1",85.0
04/01/2019,0100 UTC,"23,3",87.0
04/01/2019,0200 UTC,"22,2",88.0
04/01/2019,0300 UTC,"22,2",90.0
04/01/2019,0400 UTC,"21,9",91.0
04/01/2019,0500 UTC,"21,8",92.0
04/01/2019,0600 UTC,"21,8",92.0
04/01/2019,0700 UTC,"21,6",92.0
04/01/2019,0800 UTC,"21,6",91.0
04/01/2019,0900 UTC,"21,9",89.0
04/01/2019,1000 UTC,"24,2",81.0
04/01/2019,1100 UTC,"25,6",74.0
04/01/2019,1200 UTC,"27,1",67.0
04/01/2019,1300 UTC,"28,7",65.0
04/01/2019,1400 UTC,"29,7",61.0
04/01/2019,1500 UTC,31,56.0
04/01/2019,1600 UTC,"32,5",53.0
04/01/2019,1700 UTC,32,64.0
04/01/2019,1800 UTC,"26,8",91.0
04/01/2019,1900 UTC,"22,7",91.0
04/01/2019,2000 UTC,"22,9",92.0
04/01/2019,2100 UTC,"22,7",90.0
04/01/2019,2200 UTC,"22,7",90.0
04/01/2019,2300 UTC,"22,5",90.0
05/01/2019,0000 UTC,"22,3",91.0
05/01/2019,0100 UTC,"22,2",92.0
05/01/2019,0200 UTC,"22,1",94.0
05/01/2019,0300 UTC,"21,6",94.0
05/01/2019,0400 UTC,"21,7",94.0
05/01/2019,0500 UTC,"21,8",94.0
05/01/2019,0600 UTC,"21,7",92.0
05/01/2019,0700 UTC,"21,1",93.0
05/01/2019,0800 UTC,"20,9",93.0
05/01/2019,0900 UTC,"20,7",94.0
05/01/2019,1000 UTC,"21,5",88.0
05/01/2019,1100 UTC,"22,5",84.0
05/01/2019,1200 UTC,"23,6",80.0
05/01/2019,1300 UTC,"24,3",75.0
05/01/2019,1400 UTC,"24,9",73.0
05/01/2019,1500 UTC,"25,1",75.0
05/01/2019,1600 UTC,"25,4",75.0
05/01/2019,1700 UTC,"25,2",72.0
05/01/2019,1800 UTC,"24,8",81.0
05/01/2019,1900 UTC,24,85.0
05/01/2019,2000 UTC,"23,4",84.0
